"X","Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta","Months","Year","Day","Month_Year","market_direction","earlier_price_1"
2879,"2018-05-09",0.813393,0.819969,0.7703,0.802043,611575000,31867300000,"XRP",-0.0139538943659462,"05","2018","09","2018-05","Down",-0.0559939343535704
2880,"2018-05-08",0.833086,0.846992,0.803568,0.81397,465041000,32638900000,"XRP",-0.0229460103758796,"05","2018","08","2018-05","Down",-0.0139538943659462
2881,"2018-05-07",0.871214,0.871236,0.812933,0.832641,602535000,34132600000,"XRP",-0.0442750001721736,"05","2018","07","2018-05","Down",-0.0229460103758796
2882,"2018-05-06",0.904235,0.918675,0.855972,0.871424,640057000,35426400000,"XRP",-0.0362859212483481,"05","2018","06","2018-05","Down",-0.0442750001721736
2883,"2018-05-05",0.895562,0.922354,0.895562,0.905103,668800000,35086600000,"XRP",0.0106536454204176,"05","2018","05","2018-05","Up",-0.0362859212483481
2884,"2018-05-04",0.881536,0.927695,0.866922,0.895442,1007610000,3.4537e+10,"XRP",0.0157747386380136,"05","2018","04","2018-05","Up",0.0106536454204176
2885,"2018-05-03",0.85898,0.892916,0.847319,0.884466,725229000,33632400000,"XRP",0.0296700738084705,"05","2018","03","2018-05","Up",0.0157747386380136
2886,"2018-05-02",0.839355,0.86428,0.831713,0.859094,544426000,3.2864e+10,"XRP",0.0235168671182039,"05","2018","02","2018-05","Up",0.0296700738084705
2887,"2018-05-01",0.838355,0.842069,0.797826,0.841407,630809000,32818400000,"XRP",0.00364046257253795,"05","2018","01","2018-05","Up",0.0235168671182039
2888,"2018-04-30",0.871404,0.876788,0.831208,0.837938,575364000,34112200000,"XRP",-0.0384046894437023,"04","2018","30","2018-04","Down",0.00364046257253795
2889,"2018-04-29",0.864399,0.904945,0.83448,0.872778,896314000,33837900000,"XRP",0.00969344018213814,"04","2018","29","2018-04","Up",-0.0384046894437023
2890,"2018-04-28",0.812063,0.887591,0.812063,0.863804,788719000,31789200000,"XRP",0.0637154999057955,"04","2018","28","2018-04","Up",0.00969344018213814
2891,"2018-04-27",0.851139,0.859641,0.813885,0.813885,673793000,33318900000,"XRP",-0.0437695840514887,"04","2018","27","2018-04","Down",0.0637154999057955
2892,"2018-04-26",0.801774,0.852414,0.771787,0.852414,1028590000,31386400000,"XRP",0.0631599428267816,"04","2018","26","2018-04","Up",-0.0437695840514887
2893,"2018-04-25",0.932771,0.932771,0.779231,0.800607,1614050000,36514500000,"XRP",-0.141689653730659,"04","2018","25","2018-04","Down",0.0631599428267816
2894,"2018-04-24",0.876012,0.96561,0.873566,0.934781,1572930000,34292500000,"XRP",0.0670869805436455,"04","2018","24","2018-04","Up",-0.141689653730659
2895,"2018-04-23",0.866578,0.88629,0.863304,0.876657,674545000,3.3903e+10,"XRP",0.0116308053054659,"04","2018","23","2018-04","Up",0.0670869805436455
2896,"2018-04-22",0.86682,0.911901,0.848091,0.869995,946399000,33912400000,"XRP",0.00366281350222645,"04","2018","22","2018-04","Up",0.0116308053054659
2897,"2018-04-21",0.925021,0.925021,0.821113,0.873103,1563970000,36189400000,"XRP",-0.0561262933490159,"04","2018","21","2018-04","Down",0.00366281350222645
2898,"2018-04-20",0.791172,0.938354,0.791172,0.924465,2344070000,30952900000,"XRP",0.16847537577164,"04","2018","20","2018-04","Up",-0.0561262933490159
2899,"2018-04-19",0.712059,0.791976,0.706841,0.791976,878328000,27857700000,"XRP",0.112233677265508,"04","2018","19","2018-04","Up",0.16847537577164
2900,"2018-04-18",0.657052,0.721426,0.657052,0.708932,624049000,25705700000,"XRP",0.0789587429914224,"04","2018","18","2018-04","Up",0.112233677265508
2901,"2018-04-17",0.66489,0.677356,0.654346,0.656933,442353000,26012300000,"XRP",-0.0119673931026185,"04","2018","17","2018-04","Down",0.0789587429914224
